x,y,z,timestamp
-0.24,0.0,0.12,1742216101.0685525
-0.18,-0.37,0.18,1742216106.4249842
-1.16,-0.85,0.06,1742216111.3114994
-0.43,-0.37,0.18,1742216116.0970907
-0.55,-0.49,0.0,1742216121.1269736
-0.85,-0.37,0.12,1742216126.5074127
0.0,-0.18,0.24,1742216131.1447551
0.18,-0.18,0.31,1742216136.2856772
-1.65,-0.18,-0.79,1742216141.0922956
-0.49,-0.31,0.06,1742216146.5243473
-0.98,-0.55,0.06,1742216151.1132073
-0.24,-0.43,0.06,1742216156.2234385
-0.43,-0.31,0.12,1742216161.246245
-0.24,-0.43,-0.06,1742216166.4451897
-0.37,-0.43,0.0,1742216171.143767
-0.37,-0.49,0.12,1742216176.1469736
-0.37,-0.43,0.12,1742216181.2520916
-0.55,-0.37,0.12,1742216186.7462099
-0.49,-0.43,0.0,1742216191.1485744
-0.49,-0.61,-0.06,1742216196.305546
-0.61,-0.49,0.0,1742216206.9273307
-0.43,-0.61,0.0,1742216207.167258
0.0,-0.31,0.18,1742216211.197299
-0.61,-0.12,0.12,1742216216.2068453
-0.31,-0.37,0.0,1742216221.2269828
-0.24,-0.37,0.06,1742216226.933791
-0.37,-0.43,0.06,1742216231.2272117
-0.61,-0.43,0.0,1742216236.2009206
-0.31,-0.37,0.06,1742216241.2575476
-0.43,-0.37,0.12,1742216246.5011487
-0.24,-0.31,0.0,1742216251.2272534
-0.24,-0.43,0.0,1742216256.2604544
0.43,-0.12,0.06,1742216261.258896
-0.18,-0.31,-0.06,1742216266.5822952
-0.49,-0.37,0.12,1742216271.26075
-0.31,-0.31,0.06,1742216276.246864
-0.49,-0.43,0.18,1742216281.2619612
0.92,-0.43,0.43,1742216286.684632
-0.18,-0.43,0.06,1742216291.264516
-0.49,-0.43,0.12,1742216296.260049
-0.18,-0.37,0.12,1742216301.3236363
-0.61,-0.43,0.0,1742216306.7027466
0.12,-0.18,-0.06,1742216311.30175
-0.55,-0.24,-0.06,1742216316.4014454
-0.24,-0.24,0.12,1742216321.3046968
-0.43,-0.43,0.06,1742216326.5828826
-0.31,-0.37,0.06,1742216331.4624982
-0.61,-0.24,-0.06,1742216336.372334
-0.18,-0.49,0.12,1742216341.3822603
-0.61,-0.49,0.0,1742216346.6831634
-0.06,-0.24,0.0,1742216351.6218634
-0.31,-0.37,0.06,1742216356.4249897
